Date,Store,Dept,Weekly_Sales
2012-11-02,1,1,34081.38810000002
2012-11-02,1,2,47702.62360000001
2012-11-02,1,3,10891.913200000005
2012-11-02,1,4,38713.354299999985
2012-11-02,1,5,31086.157900000002
2012-11-02,1,6,5009.925000000004
2012-11-02,1,7,23334.269000000004
2012-11-02,1,8,38544.56479999998
2012-11-02,1,9,41908.099300000016
2012-11-02,1,10,30950.6524
2012-11-02,1,11,25927.061700000013
2012-11-02,1,12,10002.997700000002
2012-11-02,1,13,42577.1417
2012-11-02,1,14,14797.997000000001
2012-11-02,1,16,6010.948300000001
2012-11-02,1,17,8539.959499999995
2012-11-02,1,18,12442.656999999996
2012-11-02,1,19,980.9712
2012-11-02,1,20,3477.509200000002
2012-11-02,1,21,8368.506700000004
2012-11-02,1,22,7885.832700000007
2012-11-02,1,23,23773.289599999996
2012-11-02,1,24,6596.665999999995
2012-11-02,1,25,10904.108499999997
2012-11-02,1,26,7765.250099999999
2012-11-02,1,27,1806.3892000000012
2012-11-02,1,28,789.0452999999997
2012-11-02,1,29,4890.389399999997
2012-11-02,1,30,2450.1455
2012-11-02,1,31,1937.0404000000008
2012-11-02,1,32,6515.385300000002
2012-11-02,1,33,6711.398499999997
2012-11-02,1,34,11849.907300000003
2012-11-02,1,35,2494.0586999999996
2012-11-02,1,36,2144.5391999999993
2012-11-02,1,37,2865.4772999999973
2012-11-02,1,38,84785.91340000002
2012-11-02,1,40,62489.704999999965
2012-11-02,1,41,1275.8107000000005
2012-11-02,1,42,8123.685399999993
2012-11-02,1,44,5925.834799999999
2012-11-02,1,46,18736.23580000001
2012-11-02,1,48,2519.4997
2012-11-02,1,49,10210.106899999992
2012-11-02,1,52,2205.8388000000004
2012-11-02,1,55,14281.94260000001
2012-11-02,1,56,1281.6032000000005
2012-11-02,1,58,3007.5
2012-11-02,1,59,658.8030999999994
2012-11-02,1,60,1262.1240000000007
2012-11-02,1,67,6404.174500000002
2012-11-02,1,71,2556.5447999999997
2012-11-02,1,72,53834.340900000025
2012-11-02,1,74,9840.030799999999
2012-11-02,1,79,42887.4574
2012-11-02,1,80,19048.25419999998
2012-11-02,1,81,31086.8983
2012-11-02,1,82,20179.803800000005
2012-11-02,1,83,5810.784600000002
2012-11-02,1,85,3145.2069000000006
2012-11-02,1,87,59586.28699999998
2012-11-02,1,90,91112.71240000002
2012-11-02,1,91,63791.67199999999
2012-11-02,1,92,100000.0
2012-11-02,1,93,75806.52609999999
2012-11-02,1,94,60970.75680000005
2012-11-02,1,95,100000.0
2012-11-02,1,96,32562.212099999986
2012-11-02,1,97,34241.678999999975
2012-11-02,1,98,13171.241200000006
2012-11-02,1,99,189.99560000000005
2012-11-09,1,1,20153.128199999992
2012-11-09,1,2,48321.30630000001
2012-11-09,1,3,11173.379800000004
2012-11-09,1,4,38009.33420000001
2012-11-09,1,5,34670.1207
2012-11-09,1,6,4308.9285
2012-11-09,1,7,25714.663400000027
2012-11-09,1,8,37045.36909999999
2012-11-09,1,9,35210.009499999964
2012-11-09,1,10,32405.08939999999
2012-11-09,1,11,23015.6253
2012-11-09,1,12,10230.112600000004
2012-11-09,1,13,40734.305000000015
2012-11-09,1,14,18107.209900000005
2012-11-09,1,16,6700.7444
2012-11-09,1,17,8721.664900000005
2012-11-09,1,18,12009.414499999997
2012-11-09,1,19,940.6003000000003
2012-11-09,1,20,3681.309400000002
2012-11-09,1,21,8277.805799999998
2012-11-09,1,22,7787.820400000005
2012-11-09,1,23,22372.179100000012
2012-11-09,1,24,7244.859799999997
2012-11-09,1,25,9964.259999999991
2012-11-09,1,26,7669.230599999998
2012-11-09,1,27,1745.9623000000013
2012-11-09,1,28,730.6970000000001
2012-11-09,1,29,4600.313900000001
2012-11-09,1,30,2471.373
2012-11-09,1,31,1597.2272999999989
2012-11-09,1,32,6869.2878
2012-11-09,1,33,6388.6968
2012-11-09,1,34,11342.775499999998
2012-11-09,1,35,2452.3986999999997
2012-11-09,1,36,1408.7492000000002
2012-11-09,1,37,2945.2648000000004
2012-11-09,1,38,80959.03480000005
2012-11-09,1,40,60565.180600000014
2012-11-09,1,41,1152.5838
2012-11-09,1,42,8194.711099999999
2012-11-09,1,44,5947.694599999996
2012-11-09,1,46,18212.398899999986
2012-11-09,1,48,2159.74
2012-11-09,1,49,9895.136299999995
2012-11-09,1,52,2146.5002
2012-11-09,1,55,23123.169700000013
2012-11-09,1,56,1253.6797999999994
2012-11-09,1,58,3748.1788
2012-11-09,1,59,738.1095000000006
2012-11-09,1,60,1133.9919999999997
2012-11-09,1,67,6122.748399999999
2012-11-09,1,71,2420.2835000000005
2012-11-09,1,72,45849.09460000001
2012-11-09,1,74,9926.743799999997
2012-11-09,1,79,40117.62719999998
2012-11-09,1,80,19325.50769999998
2012-11-09,1,81,31264.58789999998
2012-11-09,1,82,20182.9565
2012-11-09,1,83,6435.5079
2012-11-09,1,85,2966.4497999999994
2012-11-09,1,87,55059.40559999998
2012-11-09,1,90,92378.13549999997
2012-11-09,1,91,72344.74320000003
2012-11-09,1,92,100000.0
2012-11-09,1,93,83728.58839999996
2012-11-09,1,94,61742.627599999985
2012-11-09,1,95,100000.0
2012-11-09,1,96,33132.29559999999
2012-11-09,1,97,37068.418
2012-11-09,1,98,13264.879000000008
2012-11-09,1,99,82.12740000000005
2012-11-16,1,1,18892.61530000001
2012-11-16,1,2,44136.455799999974
2012-11-16,1,3,10875.2838
2012-11-16,1,4,38477.94770000002
2012-11-16,1,5,29889.53450000002
2012-11-16,1,6,3593.980800000001
2012-11-16,1,7,24891.323600000007
2012-11-16,1,8,36458.74609999998
2012-11-16,1,9,35151.81619999998
2012-11-16,1,10,32976.4809
2012-11-16,1,11,26980.20460000001
2012-11-16,1,12,8678.772699999996
2012-11-16,1,13,38040.78140000001
2012-11-16,1,14,18363.295999999984
2012-11-16,1,16,5971.194800000002
2012-11-16,1,17,9105.052200000004
2012-11-16,1,18,12805.798199999996
2012-11-16,1,19,974.6611000000005
2012-11-16,1,20,3546.015900000001
2012-11-16,1,21,8531.089999999998
2012-11-16,1,22,7389.339500000003
2012-11-16,1,23,23814.783500000005
2012-11-16,1,24,6801.003499999994
2012-11-16,1,25,11076.740199999995
2012-11-16,1,26,7380.495600000006
2012-11-16,1,27,1849.7664000000016
2012-11-16,1,28,736.1069000000003
2012-11-16,1,29,5833.050099999998
2012-11-16,1,30,2330.842600000001
2012-11-16,1,31,1597.057699999999
2012-11-16,1,32,6205.459599999997
2012-11-16,1,33,6131.597199999998
2012-11-16,1,34,12049.644699999997
2012-11-16,1,35,2574.434799999999
2012-11-16,1,36,2264.2467
2012-11-16,1,37,2724.5692000000004
2012-11-16,1,38,78561.08860000003
2012-11-16,1,40,60349.892900000035
2012-11-16,1,41,1234.2768000000003
2012-11-16,1,42,7641.9506999999985
2012-11-16,1,44,5917.8668
2012-11-16,1,46,17694.02329999999
2012-11-16,1,48,2298.8698
2012-11-16,1,49,9983.726899999992
2012-11-16,1,52,2043.2028000000005
2012-11-16,1,54,48.69500000000003
2012-11-16,1,55,20467.736900000007
2012-11-16,1,56,1035.1335000000001
2012-11-16,1,58,3761.9187999999995
2012-11-16,1,59,755.3867000000006
2012-11-16,1,60,895.9339999999997
2012-11-16,1,67,6964.899500000004
2012-11-16,1,71,2423.0022999999997
2012-11-16,1,72,41477.1078
2012-11-16,1,74,9801.563099999998
2012-11-16,1,79,32186.5629
2012-11-16,1,80,19246.19989999999
2012-11-16,1,81,30582.903899999998
2012-11-16,1,82,20381.178299999992
2012-11-16,1,83,5811.187399999999
2012-11-16,1,85,3183.6044999999995
2012-11-16,1,87,48083.240599999976
2012-11-16,1,90,93407.06960000003
2012-11-16,1,91,68165.21089999998
2012-11-16,1,92,100000.0
2012-11-16,1,93,83291.91949999992
2012-11-16,1,94,61757.35249999999
2012-11-16,1,95,100000.0
2012-11-16,1,96,31764.494099999993
2012-11-16,1,97,36047.43810000001
